,All people aged 16 and over,No qualifications,Level 1,Level 2,Level 3,Level 4 and above
S92000003,4379072,1173116,1010875,627423,424996,1142662
S12000005,42109,12028,10751,5820,4278,9232
S12000006,126160,41563,31078,16771,9614,27134
S12000008,101168,34507,24651,13793,10092,18125
S12000010,81089,20368,20248,11607,6985,21881
S12000011,72673,13966,13369,12515,7214,25609
S12000013,23006,6907,4735,3143,2144,6077
S12000014,127613,34913,35315,18205,13345,25835
S12000015,300801,79421,72730,43306,33776,71568
S12000017,190734,48624,46719,27454,17639,50298
S12000018,67753,22083,15550,8957,7786,13377
S12000019,67584,19310,18471,9800,5776,14227
S12000020,76251,20343,20088,10987,7520,17313
S12000021,113663,35561,27532,15226,13011,22333
S12000023,17723,4997,3982,2605,1435,4704
S12000024,121477,28406,27391,17015,11780,36885
S12000026,94529,26341,21481,13003,8182,25522
S12000027,18696,4440,4918,2685,1674,4979
S12000028,94419,26925,20828,13217,9704,23745
S12000029,258346,74908,61454,37829,27215,56940
S12000030,74232,15818,15179,12035,6479,24721
S12000033,190658,38459,41913,28688,18377,63221
S12000034,205584,48427,52539,28320,20880,55418
S12000035,73731,18234,16778,10946,6496,21277
S12000036,404424,69306,74970,62021,30544,167583
S12000038,144205,40517,33344,20933,16159,33252
S12000039,74720,24499,18852,10734,8296,12339
S12000040,139665,36585,39481,19464,14142,29993
S12000041,95720,26163,23744,12760,10431,22622
S12000042,123564,33208,28185,19238,12278,30655
S12000044,272845,89946,69841,37626,28622,46810
S12000045,86312,17181,16626,14035,8428,30042
S12000046,497618,159162,98132,66685,44694,128945
